id,id_topic,cs_lemma,cs_examples,literal_en,meanings_en,preffered_rendering_en,detector_notes,source,# of sentences -1,difficulty
85,12,rozlučka|se|svoboda,"Uspořádali jsme naší kamarádce rozlučku se svobodou.|Rozlučka se svobodou se vyvedla, měli jsme jí v Českých Budějovicích.|Uspořádaly jsme naší kamarádce rozlučku se svobodou.",farewell to freedom,pre-wedding party before marriage,bachelor party|bachelorette party,,,2,medium
86,13,pánský|jízda,"Manželky s dětmi odjeli, tak jsme měli pánskou jízdu.|Chlapi měli pánskou jízdu, zatímco my jsme hlídaly děti.|Chtělo by to zase uspořádat nějakou pánskou jízdu.",men's ride,gender-exclusive social outing,guys’ night,,,2,medium
87,13,dámský|jízda,"Naše dámská jízda se protáhla až do rána.|Když máme s holkama dámskou jízdu, většinou to stojí za to.|Od porodu jsme se pořádně nesešly, chtělo by to nějakou dámskou jízdu.",women's ride,gender-exclusive social outing,girls’ night,,,2,medium
88,,míchat|hruška|s|jablko,"Při analýze tržeb nemůžeme míchat hrušky s jablky a házet velkoobchodní klienty do jednoho pytle s maloobchodem.|Váš argument nedává smysl, mícháte hrušky s jabkami.|To je jako míchat hrušku s jabkem.",to mix pears with apples,to compare things that are not comparable,to compare apples and oranges,Colloquial 'jabkami' vs standard 'jablky' ,,2,medium
89,,mít|dlouhé|vedení,"Musíš mu to vysvětlit pomalu, on má trochu dlouhé vedení.|Vtipu se smál až po deseti minutách, prostě má dlouhé vedení.|To tvoje dlouhé vedení bych chtěl mít.|Došlo jí to až druhý den, protože má dlouhé vedení.",to have a long wiring,to be slow to understand or realize something,to be slow on the uptake,,,3,medium
90,,mít|klika,"To byla ale náhoda, dneska jsi měl opravdu kliku.|Jsem člověk, který má v životě kliku.|Když chceš mít trochu kliku, musíš tomu jít i trochu naproti.",to have a handle,to be lucky,to get lucky|to be lucky,Homonym risk: 'klika' also means a door handle/lever in its literal sense. Purely lexical detection may need surrounding context to avoid false positives on literal door-handle mentions.,,2,medium
91,,mít|dlouhý|chvíle,"Během dlouhé cesty vlakem jsem měl dlouhou chvíli, a tak jsem četl knihu.|Z dlouhé chvíle jsem si začala číst historický román.|Měl dlouhou chvíli, tak začal kopat do stolu.",to have a long moment,to be bored due to inactivity,to be bored,,,2,medium
92,14,mít|plný|zub,"Mám toho dnes už plné zuby.|Mám plné zuby toho tého vymlouvání se na počasí.|Asi mě měl plné zuby, protože se mnou nechtěl trávit čas.",to have full teeth,to be sick and tired of something,to be fed up,,,2,medium
93,14,mít|plný|kecka,"Mám toho dnes už plné kecky.|Ten nás dnešní výšlap mi dal zabrat, měl jsem toho plné kecky.|Mám toho plné kecky, už chci domu!",to have full sneakers,to be sick and tired of something,to be fed up,,,2,medium
94,14,mít|plný|brýle,Mám toho dnes už plný brejle.|Plný brýle toho měl už po deseti minutách.|Mám svého manžela často plné brejle.,to have full glasses,to be sick and tired of something,to be fed up,Brýle=brejle,,2,hard
95,14,mít|po|krk,"Mám tě dneska už po krk.|Není snadné být mámou, občas toho mám po krk.|Po krk toho mám už pěkně dlouho, ale nic s tím nedokážu zatím udělat.",to have something up to one's neck,emphasizes reaching your limit,have had enough of,free order,,2,hard
96,,mít|srdce|na|dlaň,"Je to neskutečně hodný člověk, který má srdce na dlani a nezištně pomáhá lidem v nouzi.|Srdce má na dlani, ale chytrý moc není.|Každý člověk má potenciál mít srdce na dlani.",to have one’s heart on the palm,to be very open and sincere,to wear one’s heart on one’s sleeve,free order,,2,hard
97,,mít|tlustý|sklo,"Prosím tě, posuň se kousek dál, máš tlusté sklo a já nevidím na tabuli.|Když sedí v divadle, lidi přes něj nevidí, protože má tlusté sklo.|Uhni, na stranu, máš tlustý sklo.",to have thick glass,to block someone's view,to be in the way|to block someone's view,,,2,medium
98,,mít|to|v|hlava|srovnaný,"Má to v hlavě srovnané už od dětství.|Nepoznal jsem člověka, který by to měl v hlavě více srovnané.|V hlavě to mám srovnané od té doby, co jsem odmaturoval.",to have it sorted in the head,to be rational and mentally well-organized,to have one’s head screwed on,free order,,2,hard
99,,bez|lad|a|sklad,"Všechny jeho boty stojí jen tak bez ladu a skladu, už je skutečně potřebuje někam uklidit.|Mám to tam tak bez ladu a skladu, potřebuju si v tom udělat systém.|Moje máma není tak organizovaná, má věci tak různě, bez ladu a skladu.",without order and arrangement,in complete disarray,in complete disarray,,Helle Helle - Zbytky (překlad Helena Březinová),2,easy
100,,koledovat|o,"Když pomyslíte na všechny ty štětky od barvy, to si člověk úplně koleduje o požár.|To sis koledoval o pořádný úraz.|Koledoval si o pěkný průšvih, když omylem odešel z obchodu bez zaplacení.",to go caroling for,to be asking for trouble,to be asking for trouble,"POSSIBLE ERROR: canonical form is reflexive 'koledovat SI o něco' - lemma is missing 'si'. Verify; if reflexive, add 'si' to the pattern.",Helle Helle - Zbytky (překlad Helena Březinová),2,medium
101,,dát|si|slza,"Dej si slzu, řekla Helle.|Ale tak si se mnou dej slzu, to neuškodí.|Dala jsem si jenom slzu alkoholu.",to give oneself a teardrop,to have a nip,to have a nip,colloquial figurative use of slza (tear) for a small amount,Helle Helle - Zbytky (překlad Helena Březinová),2,hard
102,,moct|si|za|to|sám,"Vběhla přímo pod auto, může si za to sama.|No na mě nekoukej, můžeš si za to sám.|Nedoslo mi, že si za to vlastně může sám.|Musíš uznat, že jsme si za to mohli tak trochu sami.",to be able to blame oneself for it,to have only yourself to blame,to have only yourself to blame,free order,Helle Helle - Zbytky (překlad Helena Březinová),3,hard
103,,mít|ve|zvyk,Nemám vlastně ve zvyku chodit s cizími ženami po nocích.|Babička mívala ve zvyku sedět navečer venku o samotě.|Měl jsem ve zvyku si po práci vždycky dát pivo.,to have in habit,to be in the habit of,to be in the habit of,,Helle Helle - Zbytky (překlad Helena Březinová),2,hard
104,,dělat|had,"Udělali hada a běhají po zahradě.|S dětmi jsme si hráli, na babu, dělali jsme hada a hráli na schovku.|Na plese jsme tancovali, a udělali jsme hada, když hrála naše oblíbená písnička.",to make snake,to form a conga line (colloquial),to form a conga line,to form a conga line (colloquial),Helle Helle - Zbytky (překlad Helena Březinová),2,hard
105,,neprohodit|ani|věta,"A proto jsi s nikým neprohodila jedinou větu.|Přišla s nim na návštěvu, ale neprohodila ani větu.|Na schůzce náš šéf neprohodil ani slovo.",not to exchange even a sentence,to have no conversation with someone,not to exchange a word,Separable: object (s kým) inserts between negated verb and 'ani větu' (e.g. 'neprohodila s ním ani větu'). Requires gapped matching. Also verify how the lemmatizer handles the negated perfective verb 'neprohodit'.,Helle Helle - Neděle.... (překlad H. Březinová),2,medium
106,,vynést|soud,O tom ty nemůžeš vynášet soudy.|Vynesla soud nad jeho případem příliš rychle.|Není možné vynášet soudy s nedostatečnými informacemi.,to hand down a judgment,to make critical or moral judgments about others,to pass judgment,Separable: object (nad kým/čím) inserts between verb and noun (e.g. 'vynesla nad ním soud'). Noun also occurs in plural ('vynášet soudy') - match singular or plural.,Helle Helle - Neděle.... (překlad H. Březinová),2,medium
